crude_oil_type,cost_per_barrel_today,purchase_location,refinery_location,lead_time_days,refinery_processing_time_days,production_cost,method_of_moving,method_capacity,number_of_barrels,delivery_method,delivery_time_days,delivery_location,delivery_capacity,optimized_cost
Type C,75.10975051656213,Location 3,Refinery 1,15,9,61.71124797260394,Road,3031.008607450657,303,Ship,12,Customer C,1874.9612924163723,118.45404791193722
Type B,79.76925086600218,Location 1,Refinery 2,20,4,57.77770069631556,Ship,2996.434632430426,152,Ship,2,Customer C,1971.8738338182825,114.43722719500626
Type A,53.353823869421376,Location 1,Refinery 3,15,8,71.80907650214692,Pipe,1440.5691316758657,474,Pipe,10,Customer B,3569.235823164073,119.71152595906756
Type A,87.49802351995889,Location 3,Refinery 3,1,3,27.937276859062294,Rail,2558.064103781635,941,Rail,8,Customer B,2104.344353957049,87.9398802524066
Type A,60.49527965477929,Location 1,Refinery 3,25,3,78.65539762070259,Road,1964.2573834269465,153,Pipe,3,Customer C,1869.7905360308011,123.5903232397484
Type C,94.90271447203568,Location 1,Refinery 1,14,8,54.95771876242193,Ship,1062.7836223851186,375,Pipe,7,Customer B,2016.71085722263,152.5731841778754
Type B,60.25698202410036,Location 1,Refinery 2,5,5,79.72844914080886,Rail,2440.3985231284532,434,Road,7,Customer A,2962.5899973629075,119.75051004559872
Type A,59.534386033183324,Location 3,Refinery 3,11,3,74.69088355195105,Ship,1359.288517702419,130,Pipe,12,Customer B,4864.399490925929,130.55730330169987
Type A,51.827483392404744,Location 3,Refinery 2,16,1,33.29103632678635,Ship,2027.3201509007408,234,Ship,9,Customer A,4328.951766244913,73.1780706443129
Type A,73.60334725549995,Location 1,Refinery 1,2,3,23.369720594198785,Rail,1370.0664847323778,157,Ship,6,Customer A,2138.4410582407086,85.82862918136772
Type C,78.24205666313082,Location 1,Refinery 3,8,9,35.338345627721694,Rail,1403.7665022255953,204,Ship,1,Customer B,2453.492833992391,95.06862535840034
Type C,53.285431971417616,Location 3,Refinery 2,11,5,51.65381893996519,Rail,1796.045177660753,365,Rail,8,Customer B,2858.0490020163097,98.51803789481191
Type B,88.77638083475053,Location 3,Refinery 1,29,2,30.2957820239114,Ship,4999.396977945601,621,Ship,1,Customer C,4915.718588067961,78.73664431738956
Type C,72.66444173740138,Location 1,Refinery 2,18,7,30.04758467107931,Ship,1008.736571428995,595,Rail,3,Customer B,1689.5618733428628,99.56424280961839
Type A,76.219513466379,Location 1,Refinery 3,3,2,47.75561282630919,Road,3554.690544481621,352,Ship,11,Customer B,2429.9324139675314,87.8888593253519
Type B,72.03813734691141,Location 1,Refinery 3,26,4,21.996078270161505,Pipe,1564.9747921062294,394,Pipe,5,Customer B,3917.70437593086,82.29104983388319
Type A,70.0381530437663,Location 2,Refinery 1,1,7,27.313284951936225,Ship,4682.512546843103,767,Road,8,Customer A,4855.774937075774,50.21352998795474
Type A,77.9820165654109,Location 3,Refinery 1,11,4,44.95168036447686,Pipe,1374.531573334517,257,Ship,9,Customer A,1622.7008510569508,112.62746063785893
Type C,57.76201229653562,Location 2,Refinery 1,16,7,23.787794552477987,Rail,4820.252748504946,648,Rail,7,Customer A,1909.519816777383,41.55811201930078
Type B,59.09640652476355,Location 3,Refinery 2,18,7,43.80530338733176,Ship,3443.7055499339117,730,Rail,9,Customer C,1902.778697561721,71.0587568265543
Type C,93.08928105067587,Location 3,Refinery 2,16,1,48.440375956906706,Road,1005.072307661961,166,Road,11,Customer C,1083.728117968294,144.41747834876946
Type C,97.30577310668164,Location 3,Refinery 2,23,6,47.075996844386864,Road,4576.028791667224,853,Ship,3,Customer C,3416.462499923798,113.91176492537416
Type B,68.66546581398765,Location 3,Refinery 1,10,9,72.15049144418523,Pipe,3086.847205467673,398,Pipe,13,Customer A,3682.812296583575,113.32728422670097
Type A,63.53723365717769,Location 3,Refinery 3,18,2,51.80374730310395,Rail,2050.6789413219385,562,Ship,5,Customer B,3410.1035605010134,101.52645948562648
Type A,82.19997716195078,Location 3,Refinery 3,6,3,48.0788277486826,Pipe,4069.1167100625207,824,Ship,10,Customer C,1285.2919576512572,97.67837945387366
Type B,70.43670855490481,Location 3,Refinery 2,19,5,44.64255472349997,Rail,4706.66221554748,919,Road,8,Customer C,1276.9205029825268,77.72526596732888
Type A,51.26931778301724,Location 2,Refinery 2,4,9,69.05740269826917,Road,2934.763292587176,200,Ship,12,Customer A,1841.546217976496,89.47640840939599
Type B,57.80762986830952,Location 1,Refinery 3,27,4,73.70339623998998,Pipe,2262.2138977724435,155,Pipe,1,Customer C,2161.1780627956587,123.17092778015069
Type B,85.79861144236988,Location 1,Refinery 3,13,1,71.19454815182705,Road,4155.7804957397075,431,Rail,8,Customer B,4146.17462364019,116.79613947784203
Type C,82.94619709550757,Location 2,Refinery 2,24,4,60.41279468788345,Road,3727.1419911538187,935,Road,7,Customer A,1637.5610629956846,115.74820600124046
Type B,51.354799625174174,Location 2,Refinery 2,14,6,28.241704758120456,Rail,4555.00993500109,850,Pipe,1,Customer A,1176.3688655901285,42.593284538170785
Type C,61.098608096647474,Location 2,Refinery 3,3,5,36.61219816952074,Pipe,3770.0560510447717,492,Rail,13,Customer B,2575.9500308522206,68.2863030802488
Type A,61.55373982940357,Location 2,Refinery 1,10,1,22.763783820918647,Pipe,1974.113355598145,842,Road,13,Customer B,2665.5686805676814,79.99301381549118
Type A,83.59463717993643,Location 3,Refinery 2,6,4,75.84944449940684,Road,4726.636999036076,973,Road,10,Customer B,2803.629352755817,123.190789795894
Type A,50.98552688771821,Location 1,Refinery 3,1,6,59.647911781454624,Road,1419.3429888239652,480,Rail,12,Customer C,4307.614176107874,98.3807275869212
Type A,55.205429099228695,Location 3,Refinery 3,23,4,64.7817730587945,Rail,2071.7710004273913,191,Rail,10,Customer B,1392.0216594837668,123.25624115971016
Type C,89.99580426865947,Location 1,Refinery 3,24,9,38.694304374933736,Ship,3080.7784308955424,890,Pipe,12,Customer A,3815.7683296878486,115.37367105647918
Type A,58.927233102716684,Location 1,Refinery 3,27,5,70.73921133664055,Ship,3262.9681042836055,546,Ship,6,Customer B,2351.782284181163,107.13832069995252
Type B,82.63730539259373,Location 2,Refinery 1,14,8,35.57619702250871,Road,1061.2423465076217,208,Ship,1,Customer A,2239.92054574188,117.47382821164051
Type B,61.90913905233633,Location 3,Refinery 3,8,9,20.09862542674698,Ship,4122.29090328376,416,Ship,2,Customer A,4730.17250434392,44.20027221186633
Type B,54.97206963796726,Location 2,Refinery 2,19,5,42.58489775124164,Ship,2446.429273701558,267,Ship,5,Customer C,1993.8740976669683,77.85314502055388
Type C,62.1586095499727,Location 3,Refinery 1,14,6,54.24568885754441,Ship,2625.674164008551,911,Ship,2,Customer B,3570.1273413574654,93.07643788014055
Type A,86.11334659278296,Location 1,Refinery 3,10,1,48.72229147793135,Ship,4237.478177747783,534,Pipe,14,Customer C,2100.5110295043683,97.02468540236427
Type A,92.78482340531428,Location 2,Refinery 1,17,7,71.72456855459582,Road,2517.133566910178,541,Road,10,Customer B,3028.5755305615403,153.70908624387533
Type A,91.51099322834958,Location 2,Refinery 2,9,4,26.324317157370018,Ship,1188.8995059790193,317,Pipe,1,Customer B,4145.171570385111,116.98733160490892
Type C,69.85917648092274,Location 1,Refinery 3,29,2,53.22940643802353,Ship,1705.7590818814012,321,Pipe,6,Customer B,4526.890094065042,114.90740251667533
Type B,83.40425682853231,Location 1,Refinery 2,6,5,50.778760989254444,Rail,4823.6126895527295,772,Pipe,8,Customer B,4354.788961180201,88.93059751015402
Type B,60.24921477079105,Location 1,Refinery 3,11,3,36.88357893032978,Road,1281.6214496100565,627,Road,8,Customer B,3328.7229445785592,93.14953260369555
Type A,64.65738651305067,Location 2,Refinery 3,25,6,69.33368675462063,Pipe,2419.724803872065,377,Pipe,13,Customer A,1995.2652613528885,124.85311820770872
Type B,94.81679092605599,Location 3,Refinery 3,7,8,65.17091935293237,Pipe,3012.7166682053785,668,Pipe,13,Customer A,3644.9335330474632,139.23327543216902
Type B,50.6500961755368,Location 2,Refinery 3,17,7,63.97155123990986,Rail,2973.1233093542405,673,Road,8,Customer B,3839.620183118432,93.31694579799995
Type C,54.2754265427234,Location 3,Refinery 3,28,3,72.57154869617337,Rail,1015.839772048571,974,Pipe,11,Customer A,1042.7679604540056,137.95315369393688
Type C,60.394312757301364,Location 2,Refinery 1,28,8,63.36707603729127,Road,3004.650925829961,565,Ship,6,Customer C,2756.842043727498,110.09366942724782
Type C,51.32661019369099,Location 2,Refinery 3,1,2,33.91047750288359,Pipe,2535.089831909637,938,Rail,11,Customer C,4373.048171287057,64.77481005608423
Type C,59.071771754489866,Location 1,Refinery 3,22,9,62.33376269898147,Ship,4888.317341898229,853,Pipe,3,Customer C,2958.350384972189,84.3184924614535
Type A,79.15207804848461,Location 3,Refinery 1,5,4,38.46216880339063,Rail,1636.6363359753193,701,Rail,1,Customer B,2245.5017686532847,105.23983820981458
Type C,71.0712275296249,Location 2,Refinery 1,9,1,34.53047902084823,Pipe,2416.61678703798,683,Pipe,2,Customer B,4487.191084098651,78.25540942295095
Type B,94.63358555384875,Location 2,Refinery 1,18,8,24.38021557397764,Road,2677.9259403592787,937,Pipe,5,Customer A,1623.522790119223,99.45076537402375
Type A,90.87217808692205,Location 1,Refinery 1,24,7,64.6417148208606,Ship,2562.774148403795,129,Ship,13,Customer A,1825.7809296648015,142.94883298108007
Type B,67.0908675848938,Location 1,Refinery 1,27,5,62.660057716988675,Road,3663.32331060745,458,Road,10,Customer A,3749.4894677445336,108.61799991214315
Type B,62.971171671564626,Location 3,Refinery 1,21,5,34.069968660445625,Rail,1862.0514301910753,387,Rail,5,Customer C,2409.7437661063,103.82663378600735
Type B,68.98462040836334,Location 2,Refinery 3,2,7,64.96274100344937,Pipe,1884.2862112559674,185,Road,10,Customer C,3852.067342935116,116.29499933512199
Type C,79.51474712574039,Location 3,Refinery 3,29,5,75.07045298561317,Pipe,3916.8437940034123,333,Ship,14,Customer C,1630.8144850379676,124.53356101131583
Type C,63.403182041143815,Location 2,Refinery 2,26,8,26.481737449494755,Pipe,3001.1620747127185,846,Ship,1,Customer C,2009.0763584033837,83.78572234078601
Type A,81.2074453924567,Location 3,Refinery 3,11,6,33.9581983032065,Pipe,2660.6227042292417,412,Rail,1,Customer A,1626.589513454534,101.25360540851295
Type A,70.47058260956203,Location 1,Refinery 3,27,5,65.01564764523893,Ship,1676.8122067090071,464,Road,9,Customer B,4811.641254254038,127.93554717068156
Type C,77.602359042599,Location 2,Refinery 1,28,9,36.470400410424695,Ship,1750.1088916486665,876,Ship,2,Customer B,2621.6158434036965,115.59798088593358
Type B,71.80632645676583,Location 3,Refinery 1,6,2,57.47983845702301,Road,1042.2065472636023,898,Pipe,7,Customer C,2348.879639640904,126.64013155780039
Type A,64.72328797709588,Location 1,Refinery 3,26,1,24.86985346782287,Ship,1365.7050754468369,938,Pipe,10,Customer B,1056.8086246830587,90.05521625794896
Type C,97.42266534810784,Location 1,Refinery 2,8,8,47.13214874621232,Rail,3227.354778760964,368,Pipe,4,Customer B,1613.6703176435497,120.31037590869974
Type C,88.18028970798804,Location 3,Refinery 1,4,3,64.3454853195772,Rail,4567.492520033639,797,Road,7,Customer B,2684.543424969998,106.58956898593324
Type C,57.00565878832263,Location 2,Refinery 3,18,7,61.19083658259515,Pipe,2148.65906052223,230,Pipe,8,Customer C,1274.0111702875763,110.3288514268075
Type B,93.42339879489563,Location 2,Refinery 3,28,8,68.90432604054841,Rail,2310.9889035845126,902,Pipe,5,Customer A,3042.9573180248676,153.16106440169293
Type C,74.37155991247567,Location 1,Refinery 2,11,6,72.64712759619013,Road,1462.4224424460488,888,Ship,13,Customer A,2820.0617538577912,126.46749235573519
Type C,94.72761134470457,Location 2,Refinery 2,5,9,66.39101007552549,Ship,2554.5237824284113,931,Ship,12,Customer B,4068.672561377408,141.75471345627648
Type C,89.99276279736577,Location 2,Refinery 1,15,7,60.29526457633556,Ship,1148.8868182773167,450,Pipe,12,Customer A,3639.210805601266,140.01941261818988
Type C,71.26067522346167,Location 2,Refinery 2,28,5,21.90334950896187,Ship,4670.402785047601,279,Pipe,1,Customer A,2783.7892212822953,67.02746769923615
Type A,51.12346541600587,Location 1,Refinery 3,18,8,52.09800040456664,Rail,3692.445392498115,901,Ship,4,Customer C,1898.6428004202858,72.04291117841521
Type A,63.4338679692473,Location 3,Refinery 3,2,2,22.261863494891166,Ship,4962.995237572875,579,Rail,10,Customer C,3907.454264071225,25.400758043807876
Type C,77.08171073304334,Location 2,Refinery 2,22,7,68.48406902696135,Pipe,4531.292650713975,988,Road,3,Customer B,3831.448413816817,104.50639744858337
Type B,81.67391099130737,Location 1,Refinery 2,11,4,39.24347146759746,Pipe,2891.9623747926107,262,Road,10,Customer B,1613.1846420615498,98.4903754195358
Type A,62.894384271660115,Location 1,Refinery 2,26,9,53.74576244707526,Pipe,3078.7401246015074,882,Ship,12,Customer B,4659.007325701611,102.48528453392062
Type C,56.96780370364121,Location 3,Refinery 2,25,1,36.76671843913415,Rail,1762.3041860687754,987,Road,5,Customer C,1257.6204640601727,81.84829620053561
Type A,91.74651183996495,Location 2,Refinery 1,13,7,66.95000866281762,Ship,2848.1573713582225,195,Ship,10,Customer A,1220.1508355708647,133.4530055154889
Type A,99.22010903517761,Location 2,Refinery 2,4,6,73.19015159851415,Rail,4612.111493971246,873,Ship,13,Customer C,1749.401670649708,130.04880125454739
Type B,76.28450911513428,Location 3,Refinery 1,22,8,43.91854965278384,Ship,1203.4136945432845,609,Ship,10,Customer C,4637.843192195085,126.43006061233844
Type C,58.583964292415175,Location 3,Refinery 3,7,5,71.77534361065935,Road,4454.227211993239,464,Ship,13,Customer A,3079.9924961476872,84.76662487945269
Type C,63.61536632596845,Location 1,Refinery 2,29,1,36.02450044737994,Road,2363.791206570439,452,Rail,6,Customer A,4151.7636826916005,92.69783102023348
Type B,50.919533827373336,Location 1,Refinery 1,11,1,52.07965538453143,Rail,4598.05106038524,899,Pipe,2,Customer B,1911.3727523060024,54.12522546315664
Type B,95.71494032802495,Location 3,Refinery 2,22,9,71.52568579032223,Pipe,4763.519625365939,535,Pipe,7,Customer A,2960.8878986149634,134.88487354821044
Type C,55.88755414450706,Location 2,Refinery 3,24,6,39.55288055694742,Rail,3683.4595480076237,182,Rail,13,Customer A,2433.157854495529,76.18479962665796
Type C,78.82582377571268,Location 1,Refinery 3,4,5,77.24253590468516,Pipe,3657.6951463707114,324,Road,3,Customer A,4311.31442826477,125.61244127030325
Type B,63.7027610343603,Location 1,Refinery 3,28,1,27.31277010688302,Ship,2811.0173508349603,511,Road,1,Customer A,1090.4177574369064,82.1773465363322
Type A,77.70890012578967,Location 2,Refinery 2,15,6,21.096504183410374,Pipe,4342.16089817483,834,Pipe,10,Customer B,1975.3709198644215,69.32250733009595
Type A,82.57101941759322,Location 1,Refinery 2,1,6,74.24812115469143,Pipe,4846.451033733132,217,Road,3,Customer B,1610.296897209515,119.88928931470394
Type B,91.48709018536007,Location 2,Refinery 1,23,3,24.118919968872333,Ship,4100.3272013564765,581,Pipe,9,Customer A,4436.756154886278,87.54583023596307
Type A,60.32106358803016,Location 2,Refinery 3,3,8,79.5133517568495,Road,3487.746935026837,291,Pipe,10,Customer A,2870.1753987750626,118.10640292309651
Type B,50.549791432924025,Location 2,Refinery 2,14,1,77.08381171874638,Ship,3427.171583285347,690,Rail,11,Customer B,2616.8801755728646,95.94139186838402
Type A,56.844281503440364,Location 3,Refinery 3,6,1,28.22125460217924,Rail,4397.879606334649,689,Road,11,Customer B,2797.9310484043194,43.36003132366573
Type A,95.00093209240526,Location 3,Refinery 3,18,6,52.25507754155395,Rail,3164.8150630851933,758,Rail,6,Customer A,4887.698202809341,125.83284313790696
Type C,93.69450387812577,Location 3,Refinery 1,25,1,31.09521784802866,Rail,4215.439544995291,206,Pipe,11,Customer C,4401.069577343696,90.22140398025071
Type C,79.87065510851542,Location 2,Refinery 1,1,6,45.68931038180719,Rail,3035.5410206969827,481,Pipe,6,Customer B,3825.47508740123,85.70126094728218
Type A,80.02584302168268,Location 2,Refinery 1,6,1,23.68550775558996,Rail,1249.7770998956964,882,Pipe,4,Customer B,2161.9158368930184,98.86007158737391
Type A,83.25183372731277,Location 3,Refinery 1,6,6,33.43547526779537,Road,2535.7880356166206,489,Ship,8,Customer B,1660.6919980737912,91.47975786942864
Type C,58.76856393117248,Location 1,Refinery 3,21,3,41.796367783933974,Road,2777.763830685995,343,Ship,5,Customer A,4685.734516097813,82.18314837183179
Type C,95.72059729624799,Location 2,Refinery 1,16,8,46.318850014763285,Pipe,1566.4689799464688,684,Ship,7,Customer A,2692.302091185931,144.69768383540003
Type C,70.93852624460365,Location 1,Refinery 1,29,6,78.64977549253359,Rail,1409.9853167568513,968,Rail,9,Customer B,2115.023197874517,154.6488739469328
Type B,69.15692641247487,Location 1,Refinery 1,5,1,68.47193874103888,Ship,3141.8597986278164,567,Pipe,13,Customer A,2883.683305670542,117.71132444091072
Type A,75.94588526414188,Location 2,Refinery 1,17,5,64.24459665871677,Rail,1340.5745462243285,965,Road,13,Customer A,4671.389691281409,137.38739163109673
Type C,52.348298338752755,Location 2,Refinery 3,10,8,52.22247888451845,Road,2211.7806715603356,637,Rail,14,Customer B,2548.2692535651727,92.63043414415641
Type A,58.31416843780397,Location 1,Refinery 1,28,3,70.3998656362606,Rail,3978.3879038523037,309,Rail,5,Customer A,3250.5639889923978,102.62679724804028
Type B,86.90168082131852,Location 1,Refinery 3,21,6,40.359370139342666,Road,4857.728718271923,703,Rail,11,Customer C,4211.865204434267,86.74028228405935
Type B,54.139933396256325,Location 3,Refinery 2,18,5,62.53394676639896,Pipe,3871.4823222077143,736,Road,14,Customer A,2708.530124193565,91.21802171125469
Type C,80.1576054733194,Location 3,Refinery 3,7,6,79.62703852269033,Pipe,4970.5021938114805,172,Pipe,5,Customer A,1934.1672077054732,113.20011600874247
Type B,62.26745548406605,Location 2,Refinery 3,3,1,38.87773453611193,Pipe,3793.351885117611,734,Ship,14,Customer B,4978.102993532133,68.23428100022048
Type A,69.46478070209884,Location 3,Refinery 1,13,7,60.44105209303804,Road,2175.17788261731,408,Pipe,4,Customer B,4826.283429808638,113.90170887902265
Type C,64.43468683853499,Location 3,Refinery 2,15,9,70.65889184914295,Rail,3688.2101620214476,795,Pipe,6,Customer C,4373.916676502056,107.53456080403585
Type A,67.78363582324747,Location 3,Refinery 2,20,2,74.94845500104034,Rail,3808.6270607876154,798,Rail,2,Customer A,3753.4955175436903,114.76940768990877
Type A,85.95229525921228,Location 3,Refinery 2,19,5,63.075961456406105,Ship,2486.9079384658426,809,Rail,3,Customer C,2179.462512278788,140.54400245618828
Type B,64.85608578115875,Location 1,Refinery 2,3,4,37.016475405028174,Road,1070.855402437556,689,Rail,1,Customer C,4653.651752656127,91.74226395568269
Type B,78.32023201484486,Location 2,Refinery 3,4,6,39.57692909413679,Ship,3812.7991391019477,959,Ship,2,Customer B,2102.226680484915,89.50412031592526
Type B,73.80252010995498,Location 3,Refinery 2,5,6,21.24548192743785,Pipe,1086.8003811021665,285,Ship,2,Customer A,4203.23797870733,83.95573952436816
Type B,83.1835582681324,Location 1,Refinery 3,1,2,65.65315866029059,Rail,3524.7523122402845,955,Ship,8,Customer B,4673.032671765225,116.03848176436817
Type B,96.84148696623791,Location 1,Refinery 3,4,2,22.56437636371708,Road,1654.4659549702203,352,Pipe,8,Customer C,3412.015361719646,102.02320064230884
Type C,86.62860486051252,Location 1,Refinery 3,12,4,71.87914127616475,Ship,3262.4141109921734,112,Rail,2,Customer C,4212.224871564716,138.66233413795408
Type A,60.74701892953784,Location 3,Refinery 2,28,1,27.119636868472327,Ship,3015.6521015224,398,Road,13,Customer B,4166.780396806987,67.91681730510855
Type A,51.55915675306424,Location 3,Refinery 1,27,9,30.312590728155456,Ship,1054.0545692247304,175,Pipe,14,Customer B,1772.6310044839195,83.94753806986157
Type A,63.113202214991254,Location 2,Refinery 1,24,7,48.59158824993424,Rail,2451.4632679804135,150,Ship,6,Customer B,3671.6978943843387,95.00864561764516
Type A,79.75389653501274,Location 3,Refinery 2,10,7,64.27282491012454,Rail,3404.364669585211,886,Road,5,Customer B,1373.8717476177742,117.59827782171529
Type B,52.57129067421252,Location 3,Refinery 1,23,3,28.34013231194466,Rail,4394.426207595119,248,Road,3,Customer B,3031.4005725499255,52.322404434452736
Type A,74.81831236006181,Location 1,Refinery 1,25,3,46.40426450398991,Road,4554.568455346069,830,Rail,5,Customer C,1648.94219256231,91.49253822904502
Type C,79.84214244584446,Location 2,Refinery 3,21,1,48.971076464606284,Rail,2935.399880132893,221,Road,5,Customer B,2665.397995185727,109.53803030943656
Type C,66.71219454084805,Location 3,Refinery 3,29,3,32.73713850011548,Road,3913.6899491977524,310,Ship,5,Customer A,4331.928298793751,72.40972789129943
Type A,88.54561018729109,Location 3,Refinery 2,26,3,26.933502600837905,Ship,2265.8183061338304,379,Rail,3,Customer C,4948.671358520818,105.3275301382512
Type A,55.32991265668859,Location 1,Refinery 2,20,4,70.18525537913837,Ship,2368.7456230346297,637,Road,3,Customer C,2271.839326638471,111.82506419080462
Type C,53.75688908679044,Location 1,Refinery 1,24,4,50.14793898576593,Pipe,1777.854076729255,784,Rail,4,Customer A,3127.8227951327062,100.58933944237381
Type C,86.40943781018017,Location 3,Refinery 3,25,3,20.862874159049177,Rail,3247.7924399729573,255,Road,7,Customer A,3045.192097481954,89.1136516218659
Type B,74.77456581030992,Location 2,Refinery 2,13,8,68.17887807854623,Ship,2258.256603709461,337,Pipe,12,Customer C,4817.606039324264,137.9694732246833
Type C,84.4201198213868,Location 2,Refinery 2,23,8,78.84762832487509,Rail,1337.4835857540202,475,Pipe,12,Customer B,2914.3349297310942,163.99109261412912
Type B,71.74136693018731,Location 1,Refinery 2,14,1,56.35557172485484,Road,3740.024346652715,181,Ship,12,Customer C,3796.4248215987914,99.80070003084107
Type B,62.32010166195534,Location 1,Refinery 2,23,7,50.22250322504424,Ship,3831.0128304215928,591,Pipe,14,Customer C,4687.156932434104,88.18975561480995
Type B,90.95511588371,Location 3,Refinery 2,5,2,72.70495178269769,Rail,2439.9696751162314,455,Pipe,2,Customer A,2493.51423814736,140.72670311541873
Type B,89.97079394844897,Location 1,Refinery 2,4,1,77.15100738107591,Ship,1306.893597824091,372,Pipe,10,Customer C,4608.48895298155,158.1232378563537
Type B,84.73482354272133,Location 3,Refinery 1,14,3,65.27221495414763,Ship,2705.1908696137034,679,Road,4,Customer B,4669.824887564054,128.75182683098987
Type A,63.607256861498136,Location 2,Refinery 3,10,4,46.727175784057266,Rail,2769.341832200862,143,Road,4,Customer A,4722.650015868523,88.54992806711003
Type C,79.51153334345435,Location 2,Refinery 3,17,6,55.533283959886425,Ship,3674.683539591572,672,Rail,1,Customer C,2081.7847418857054,114.39432459981359
Type B,68.04869484700134,Location 3,Refinery 2,10,5,62.056121901079955,Ship,2261.665565034734,222,Road,10,Customer C,2601.422377079834,111.56136395627158
Type C,54.579103666331704,Location 1,Refinery 3,26,4,31.656414260108086,Ship,3730.3971191252217,448,Pipe,8,Customer B,4481.583632902808,65.06826641395293
Type C,95.86567877311214,Location 2,Refinery 3,7,8,46.83206193298628,Ship,4485.954167029553,807,Road,1,Customer C,2436.6472971216754,91.33145352337158
Type B,56.84093154594807,Location 1,Refinery 3,16,4,69.7892758830371,Road,1949.9441694487994,429,Ship,8,Customer C,3401.0121317340204,115.40404618121273
Type A,97.51186769104012,Location 2,Refinery 2,1,2,59.28352090990658,Ship,4915.6782244795995,508,Rail,7,Customer C,1472.2180290402077,106.2780127076931
Type B,72.30028864789779,Location 3,Refinery 2,17,3,44.67224403271125,Pipe,2545.472548547228,422,Rail,9,Customer C,1225.099952444963,101.51910936664831
Type A,59.25664644193098,Location 3,Refinery 3,21,6,59.801752040880885,Ship,2069.0347405882467,210,Road,8,Customer B,2647.9759579686906,109.48686719526968
Type C,77.0950473689179,Location 3,Refinery 3,29,8,27.093344724347592,Rail,2686.044730041162,869,Pipe,5,Customer C,3315.6661303708697,94.93553366822577
Type A,93.64729179382041,Location 2,Refinery 2,9,8,44.08985663389258,Pipe,1377.5899036154367,188,Rail,8,Customer C,2570.796453435765,128.9679179614189
Type A,86.61124432047805,Location 1,Refinery 1,6,9,67.58771227778338,Road,1502.8236260484628,532,Ship,14,Customer C,3310.943080643368,146.802393833356
Type A,90.32805739307248,Location 1,Refinery 3,19,7,33.23052722819888,Pipe,2657.7361878733254,809,Ship,11,Customer A,3060.33750468714,100.00801273510365
Type C,82.93916833553587,Location 1,Refinery 1,13,2,31.157690453445063,Pipe,4049.7780877564,893,Rail,10,Customer B,3742.8289171443034,81.25613939181908
Type C,84.61382822589263,Location 2,Refinery 3,3,8,77.04911959498588,Pipe,4601.248958297963,811,Pipe,12,Customer A,3598.129724261559,114.86506198881601
Type A,92.45978257826596,Location 2,Refinery 1,7,7,32.593857775173845,Rail,3659.2719628650834,198,Pipe,12,Customer A,2696.9828128263202,99.9002534411593
Type A,62.483400442959294,Location 2,Refinery 1,22,8,35.655114779010084,Rail,1420.878220952679,638,Road,3,Customer B,2699.980961679453,92.5636630830428
Type B,74.47124818215703,Location 2,Refinery 1,9,3,78.17695633426027,Rail,3688.07904872214,700,Road,10,Customer A,1563.113360048928,126.14351744929614
Type A,61.06047209098011,Location 2,Refinery 2,22,7,64.08251421590154,Road,3541.711682811888,245,Rail,7,Customer A,3052.9542883858367,102.76820627278912
Type B,99.38340039983234,Location 1,Refinery 1,5,9,61.97579198141169,Rail,4223.055673173325,793,Road,12,Customer A,3348.716512542787,115.18482153373431
Type A,97.20296698433066,Location 2,Refinery 1,10,3,71.17558303127487,Rail,4300.9946666087235,356,Road,4,Customer B,2905.957589415305,126.88726660361267
Type B,51.9713405684253,Location 2,Refinery 1,23,6,26.949384934207657,Pipe,4472.812303115916,288,Road,5,Customer C,2302.829340347996,51.7316075921204
Type C,85.27875862578442,Location 1,Refinery 3,17,2,62.35737419480043,Rail,2656.5260583163936,339,Ship,9,Customer B,3886.5941770069435,134.12591636166886
Type A,96.26241587078329,Location 2,Refinery 1,12,2,50.22131655969433,Ship,3791.457581408577,970,Road,7,Customer B,1298.6465785808964,108.67240275273979
Type A,59.02876725636668,Location 1,Refinery 3,23,5,69.74903841704838,Rail,2073.001435689243,998,Rail,4,Customer B,4657.76147901619,128.86206994473557
Type A,78.39726152763147,Location 1,Refinery 1,16,5,50.488503119911655,Road,4997.345119934017,602,Pipe,6,Customer A,1082.5737581831731,88.28949241315352
Type A,95.77441487940209,Location 3,Refinery 1,3,7,57.214481256134725,Road,1701.3369655074398,807,Road,10,Customer C,4849.400533753112,143.9997547514672
Type B,51.69729892928994,Location 3,Refinery 2,25,2,48.66452758397216,Ship,1040.4577266433432,908,Pipe,14,Customer B,2849.42240373865,96.99804249911291
Type A,84.871013362342,Location 3,Refinery 3,22,7,48.68953541335065,Road,1595.234858072704,776,Road,11,Customer B,2650.6797760141644,128.42845511410027
Type C,64.86745036862754,Location 3,Refinery 1,9,5,66.0781986837099,Road,4103.489158176507,918,Rail,7,Customer C,2025.7760698527525,97.99027882186165
Type C,96.21980976882652,Location 2,Refinery 3,29,6,57.71398403883699,Pipe,2787.134706032846,370,Ship,13,Customer C,1040.2845393291327,140.79662948235688
Type A,98.55291225826838,Location 3,Refinery 3,15,8,57.99579209656463,Ship,2790.000991241713,619,Rail,10,Customer C,2099.161057687199,123.94473922006209
Type C,97.2133244556717,Location 1,Refinery 2,5,4,47.01694902989155,Pipe,4820.0916784466735,649,Ship,13,Customer A,1437.599701841336,98.77544501613224
Type A,73.71071083287319,Location 2,Refinery 2,23,7,51.86656978025165,Pipe,4678.539632112297,213,Road,9,Customer C,3639.2833707735786,82.56839356987416
